Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
't Zelfde	blond	4%	Brouwerij Bosteels	?-heden
't Zwarte Gat Bier	donkerblond	6%	Brouwerij De Regenboog	?-heden
Taras Boulba	blond	4,5%	Brouwerij De Ranke voor Brasserie de la Senne	?-heden
Tatsevoet	speciale belge	6%	Brouwerij Het Alternatief bij Brouwerij Alvinne	?-heden
Tempelier	speciaalbier	%	Brouwerij De Sleutel	?-?
Tempelier	speciaalbier	6%	Brasserie du Bocq voor Brouwerij Corsendonk	?-heden
Ter Dolen Armand	blond hoppig	7%	Brouwerij Ter Dolen	?-heden
Ter Dolen Blond	blond	6,1%	Kasteelbrouwerij De Dool	1994-heden
Ter Dolen Donker	bruin	7,1%	Brouwerij Ter Dolen	1997-heden
Ter Dolen Kriek	fruitbier	4,5%	Brouwerij Ter Dolen	2003-heden
Ter Dolen Tripel	tripel	8,1%	Brouwerij Ter Dolen	1999-heden
Ter Dolen Winter	winterbier	9,1%	Brouwerij Ter Dolen	?-heden
Terracotta	blond	7%	Brouwerij De Regenboog	2002-heden
Thouroutenaere	NaN	%	brouwerij Louwaege	1987-2002
Thouroutenaere	NaN	%	brouwerij Lefebvre	2003-2003
Thouroutenaere	blond	8,5%	Alken-Maes (Heineken)	2004-heden
Timmermans Caveau Gueuze	geuze	5,5%	Brouwerij Timmermans	?-heden
Timmermans Casis	geuze	5%	Brouwerij Timmermans	?-?
Timmermans Faro Lambic	faro	4%	Brouwerij Timmermans	?-heden
Timmermans Framboise Lambic	fruitbier	4%	Brouwerij Timmermans	?-heden
Timmermans Gueuze Lambic	geuze	5%	Brouwerij Timmermans	?-heden
Timmermans Kriek Lambic	kriek	4%	Brouwerij Timmermans	?-heden
Timmermans Kriek Retro	fruitbier	5%	Brouwerij Timmermans	?-heden
Timmermans Lambicus Blanche	witbier	4,5%	Brouwerij Timmermans	?-heden
Timmermans Oude Gueuze	lambiek	5,5%	Brouwerij Timmermans	?-heden
Timmermans Oude Kriek	kriekenlambiek	5,5%	Brouwerij Timmermans	?-heden
Timmermans Pêche Lambic	fruitbier	4%	Brouwerij Timmermans	?-heden
Timmermans Strawberry Lambic	fruitbier	4%	Brouwerij Timmermans	?-heden
Timmermans Warme Kriek	kriek	4%	Brouwerij Timmermans	?-heden
Tineke Van Heule	hoge gisting	8%	Brouwerij Gulden Spoor	?-heden
Titje	hoge gisting, witbier	5%	Brasserie de Silly	1990-heden
Toetëlèr Amber Tripel	tripel	8,5%	Brouwerij Den Toetëlèr	2011-heden
Toetëlèr Speculaas	speculaasbier	8,5%	Brouwerij Den Toetëlèr	NaN
Toetëlèr Wit	witbier	5,2%	Brouwerij Den Toetëlèr	NaN
Toisen d'or	tripel	7%	Brouwerij Het Anker	NaN
Tongerlo Blond	hoge gisting, abdijbier	6%	Brouwerij Haacht	?-heden
Tongerlo Bruin	hoge gisting, abdijbier	6%	Brouwerij Haacht	?-heden
Tongerlo Christmas	hoge gisting, abdijbier	6,5%	Brouwerij Haacht	?-heden
Tongerlo Prior	hoge gisting, abdijbier	8%	Brouwerij Haacht	?-heden
Tongerlo Winterbier	hoge gisting, abdijbier	7%	Brouwerij Haacht	?-heden
Tonneke	hoge gisting, amber	5%	Brouwerij Contreras	1818-heden
Toria Blond	hoge gisting	6,5%	Brouwerij De Graal voor De Hoevebrouwers (sinds 2022 in eigen brouwerij)	?-heden
Toria Tripel	hoge gisting, tripel	8,7%	Brouwerij De Graal voor De Hoevebrouwers (sinds 2022 in eigen brouwerij)	?-heden
Totentrekker	amber	5,5%	De Proefbrouwerij voor Buitenlust	?-heden
Tournay	hoge gisting	6,7%	Brasserie de Cazeau	?-heden
Tournay de Noël	stout, kerstbier	8,2%	Brasserie de Cazeau	?-heden
Tournay Noire	stout	7,6%	Brasserie de Cazeau	?-heden
Tournée Générale	spéciale belge	6,5%	Brouwerij Duvel Moortgat	2009-?
Tournée Générale Tripel Hop	blond, hoge gisting	7,5%	Brouwerij Palm	2011-heden
Tourtel blond	laag alcohol	0.4%	Alken Maes	?-1991-heden
Tourtelbruin	laag alcohol	0.4%	Alken Maes	?-1991-heden
Tourtel amber	laag alcohol	0.4%	Alken Maes	?-1991-heden
Tourtel twist agrume	laag alcohol	0.4%	Alken Maes	?-heden
Tourtel twist citroensap	laag alcohol	0.4%	Alken Maes	?-heden
Tourtel twist orange sanguine	laag alcohol	0.4%	Alken Maes	2016-heden
Tourtel twist pêche	laag alcohol	0.4%	Alken Maes	2016-heden
Tourtel twist framboise	laag alcohol	0.4%	Alken Maes	2017-heden
Toverhekske	amber	5,9%	Brouwerij Walrave	?-heden
Trammelantje	amber	6,5%	Brouwerij Strubbe voor Bierfirma Den Haene	?-heden
Trappieter	amber	6,5%	De Proefbrouwerij voor Bierfirma Trappieter	?-heden
Tremist	hoge gisting, blond	6%	Brouwerij Van Eecke voor Extremis	2010-heden
Triest Blond	hoge gisting	6%	Microbrouwerij Den Triest	?-heden
Triest Dubbel	hoge gisting	8%	Microbrouwerij Den Triest	?-heden
Triest Kriek	witbier, fruitbier	5,2%	Microbrouwerij Den Triest	?-heden
Triest Tripel	hoge gisting, tripel	7,5%	Microbrouwerij Den Triest	?-heden
Triest X-mas	hoge gisting, kerstbier	8,5%	Microbrouwerij Den Triest	?-heden
Triomfbier Vooruit	amber	6%	Brasserie Dupont voor Kunstencentrum Vooruit	2013-heden
Tripel Kanunnik	tripel	8,2%	Brouwerij en stokerij Wilderen	2011-heden
Tripel Karmeliet	tripel	8,4%	Brouwerij Bosteels	1996-heden
Tripel Klok	tripel	8,5%	Brouwerij Boelens	2009-heden
Tripel Trezeke	tripel	7,5%	Brouwerij Den Triest	?-?
Triple de Brabant	tripel, blond	8,5%	Groep John Martin	?-heden
Triple Jack	pale ale	6,1%	Brouwerij Stokhove	NaN
Triple Moine	tripel	7,3%	Brasserie Du Bocq	1987-heden
Triporteur from Heaven	ale, blond	6,2%	Brouwerij Anders! voor BOMBrewery	NaN
Triporteur from Hell	ale, bruin	6,6%	Brouwerij Anders! voor BOMBrewery	NaN
Trisser	tripel	7,5%	De Proefbrouwerij voor De Verhuisbrouwerij	2004-heden
Triverius	tarwebier	6,8%	Brouwerij De Graal	?-?
Troubadour Blond	blond	6,5%	De Proefbrouwerij voor Brouwerij The Musketeers	2000-heden
Troubadour Imperial Stout	imperial stout	9%	De Proefbrouwerij voor Brouwerij The Musketeers	NaN
Troubadour Magma	tripel India Pale Ale	9%	De Proefbrouwerij voor Brouwerij The Musketeers	2010-heden
Troubadour Obscura	stout	8,2%	De Proefbrouwerij voor Brouwerij The Musketeers	?-heden
Troubadour Spéciale	speciale belge	5,7%	De Proefbrouwerij voor Brouwerij The Musketeers	?-heden
Troublette	witbier	5%	Brasserie Caracole	1992-heden
TRPL	hoge gisting, biologisch, tripel	8%	De Proefbrouwerij voor Brouwerij Jessenhofke	2002-heden
Tsjeeses	hoge gisting, blond	10%	De Struise Brouwers	NaN
Tsjeeses Reserva	hoge gisting, goud	10%	De Struise Brouwers	NaN
Tumulus 800	tarwebier	6%	De Proefbrouwerij in opdracht van De Kale Ridders	2011-heden
Tumulus Aura	tarwebier	5,5%	De Proefbrouwerij in opdracht van De Kale Ridders	?-heden
Tumulus Magna	tarwebier	9%	De Proefbrouwerij in opdracht van De Kale Ridders	2008-heden
Tumulus Nera	tarwebier	8%	De Proefbrouwerij in opdracht van De Kale Ridders	?-heden
Turnhoutse Patriot	saison	6,5%	Scheldebrouwerij voor Hobbybrouwerij Het Nest	2012-heden
Tuverbol	gemengde gisting	11%	Brouwerij Loterbol	2006-heden
Uilenspiegelbier	dubbel	7%	Brouwerij Van Steenberge	1957-heden (e ?-heden)
Uitzet 1730	tripel	6,8%	Brouwerij Van Steenberge voor Brouwerij Paeleman	1730-heden
Uitzet Kriekbier	fruitbier	7,5%	Brouwerij Van Steenberge voor Brouwerij Paeleman	?-heden
Ulricher Extra	pils	5%	Brouwerij Girardin	?-heden
Ultra Ambrée	ale, amber, hoge gisting	7%	Brasserie d'Ecaussinnes	2001-heden
Ultra Fraîche	lichtblond	3,5%	Brasserie d'Ecaussinnes	2006-heden
Ultra Soif	blond, hoge gisting	5%	Brasserie d'Ecaussinnes	2002-heden
Ultramour	fruitbier	5%	Brasserie d'Ecaussinnes	2002-heden
Ultra Blonde	blond	8%	Brasserie d'Ecaussinnes	2001-heden
Ultradélice	bruin	8%	Brasserie d'Ecaussinnes	2003-heden
Ultrabrune	donkerbruin	10%	Brasserie d'Ecaussinnes	2001-heden
Unkerzak	blond	7%	De Proefbrouwerij	1997-heden
Unic-bier	NaN	3,2%	Brasserie Gigi	?-?
"Urania ""Daughter of Zeus"""	bruin	9,5%	Brouwerij Eutropius in opdracht van Castalia Craft Beers	2018-heden
Urchon	hoge gisting	7,5%	Brasserie des Légendes	?-heden
Urthel Hop-It	blonde India Pale Ale	9,5%	Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel	2005-heden
Urthel Hibernus Quentum	tripel	9%	Brouwerij De Leyerth	2000-2010
Urthel Novicius Vertus	donker speciaalbier	5,9%	Brouwerij Urthel	2000-2004
Urthel Parlus Magnificum	donkerbruin	7,5%	Brouwerij De Leyerth	?-2010
Urthel Saisonnière	blond speciaalbier	6,0%	Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel	2009-heden
Urthel Samaranth	amberkleurig speciaalbier, hoge gisting	11,5%	Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel	2002-heden
Urthel Vlaemse Bock	donkerbruin	7,5%	Brouwerij De Leyerth	?-2010
Urthel Tonicum Finiboldus	amber	7,5%	Brouwerij De Leyerth	2000-2004
Uytkanter	blond	7%	Brouwerij Duinen en Polder	2019 - heden
vaartlander	hoge gisting	?%	Brouwerij Huyghe	?-?
Val-Dieu Blonde	Erkend Belgisch abdijbier	6%	Brouwerij Val-Dieu	1997-heden
Val-Dieu Brune	Erkend Belgisch abdijbier	8%	Brouwerij Val-Dieu	1997-heden
Val-Dieu Bière de Noël	Erkend Belgisch abdijbier	7%	Brouwerij Val-Dieu	?-heden
Val-Dieu Grand Cru	Erkend Belgisch abdijbier	10,5%	Brouwerij Val-Dieu	?-heden
Val-Dieu Triple	Erkend Belgisch abdijbier, tripel	9%	Brouwerij Val-Dieu	1998-heden
Val-Dieu Triple	tripel	%	Brasserie d'Aubel	?-1995
Val-Dieu Triple	tripel	9%	Brouwerij Van Honsebroeck	1984-?
Valeir Blond	hoge gisting, blond	6,5%	Brouwerij Contreras	2004-heden
Valeir Divers	hoge gisting, tripel	8,5%	Brouwerij Contreras	2005-heden
Valeir Donker	hoge gisting	6,5%	Brouwerij Contreras	2006-heden
Valeir Extra	hoge gisting, IPA	6,5%	Brouwerij Contreras	2008-heden
Vals Paterke	tripel	8,3%	Brouwerij De Graal voor t'Drankorgel	NaN
Vanderghinste oud bruin	West-Vlaams roodbruin	5,5%	Brouwerij Bockor	1892-heden
Vapeur cochonne	Belgian ale	9%	Brasserie à Vapeur	1992-heden
Vapeur cochonnette	Belgian ale	9%	Brasserie à Vapeur	1992-heden
Vapeur en Folie	Belgian ale	8%	Brasserie à Vapeur	?-heden
Vapeur Grosse	NaN	?%	Brasserie à Vapeur	?-?
Vapeur Légère	Blond	6%	Brasserie à Vapeur	?-heden
Vat 44	geuze	8%	Brouwerij Boon	NaN
Vedett Extra Blond	blond	5,2%	Brouwerij Duvel Moortgat	1945-heden
Vedett Extra White	witbier	4,7%	Brouwerij Duvel Moortgat	2008-heden
Vedett Extra ordinary IPA	blond	6%	Brouwerij Duvel Moortgat	2014-heden
Verhaeghe Pils	pils	5,1%	Brouwerij Verhaeghe	?-heden
Vicardin	tripel-gueuze	7%	Brouwerij Dilewyns	2007-2012
Vicaris 5	hoge gisting	5%	Brouwerij Dilewyns	2011-2012
Vicaris Generaal	hoge gisting	8,8%	Brouwerij Dilewyns	2006-heden
Vicaris Kerst	hoge gisting, kerstbier	10%	Brouwerij Dilewyns	2009-2011
Vicaris Tripel	hoge gisting, tripel	8,5%	Brouwerij Dilewyns (vroeger De Proefbrouwerij)	2005-heden
Vicaris Tripel Geuze	hoge gisting, tripel	%	Brouwerij Dilewyns	2012-heden
Vicaris Quinto	hoge gisting	5%	Brouwerij Dilewyns	2012-heden
Vicaris Winter	hoge gisting, kerstbier	10%	Brouwerij Dilewyns	2011-heden
Vichtenaar	roodbruine ale	5,1%	Brouwerij Verhaeghe	?-heden
Victoria (bier)	blond	8,5%	AB Inbev	2020-heden
Vieux Bruges Blanche	etiketbier, witbier	4,5%	Brouwerij Van Honsebrouck	1992-?
Vieux Bruges Framboise(s)	fruitbier	5 en 4,5%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruges Gueuze	geuze	5%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruges Kriek	etiketbier	3,2%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruges Kriek Lambic	etiketbier	5%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruges Peche	fruitbier	3,5%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruxelles Gueuze	etiketbier	5%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Bruxelles Kriek	etiketbier	4%	Brouwerij Van Honsebrouck	?-heden (e ?-?)
Vieux Temps	speciale belge	5,2%	AB Inbev (vroeger brouwerij Grade)	NaN
Villers Tripel	abdijbier, tripel	8%	Brouwerij Huyghe	NaN
Villers Vieille	abdijbier	7%	Brouwerij Huyghe	NaN
Vigneronne	fruitbier, lambiek	6%	Brouwerij Cantillon	?-heden
Vinkenier	streekbier	10,8%	Brouwerij Eutropius	?-heden
Viven Ale	speciale belge	5%	De Proefbrouwerij voor Beerdevelopment Viven	2010-heden
Viven Blond	blond	6,1%	De Proefbrouwerij voor Beerdevelopment Viven	1999-2003 en 2006-heden
Viven Bruin	dubbel	6,1%	De Proefbrouwerij voor Beerdevelopment Viven	1999-2003 en 2006-heden
Viven Imperial IPA	Imperial IPA	8%	De Proefbrouwerij voor Beerdevelopment Viven	2010-heden
Viven Porter	smoked Porter	7%	De Proefbrouwerij voor Beerdevelopment Viven	2010-heden
Vlaamsch Wit	witbier	4,5%	Brouwerij Van Honsebrouck	1992-?
Vlaamsche Leeuw Blondje	blond	5,5%	Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen	2002-2011
Vlaamsche Leeuw Donker	bruin	7,5%	Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen	2002-heden
Vlaamsche Leeuw Tripel	tripel	8,5%	Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen	2002-heden
Vlaamse Bourgogne	amber	?%	Brouwerij Bios voor de Hopduivel	?-?
Vlasbier	blond	6,5%	Brouwerij Van Eecke	?-heden
Vlaskapelle	Vlaams roodbruin	5%	Brouwerij Gulden Spoor	?-?
Vlaskop	witbier	5,5%	Brouwerij Strubbe	?-heden
Vleteren Alt	ale donker	8%	Brouwerij Deca	?-2013
Vleteren Bruin	donkere ale	8%	Brouwerij Deca	2013-heden
Vleteren Super 8 Blond	blond	8%	Brouwerij Deca	1991-2008
Vondel	donkerbruin	8,5%	Brouwerij Riva, later Brouwerij Liefmans	?-2007
Vossen met de Meynen Blond	etiketbier	6,5%	Brouwerij Het Anker	2008-?)
Vossen met de Meynen 69	hoge gisting, blond	6,9%	Brouwerij Hof ten Dormaal	?-?
Vurig Bierreke	tripel	11,5%	Brouwerij DijkWaert	2010-heden
Vuuve	witbier	5%	Brouwerij De Regenboog	2000-2010
Waasbier	NaN	?%	Brouwerij Boelens	?-?
Waardams Blond	blond	6,1%	Brouwerij Stokhove	NaN
Waardamse Dubbel	bruin	7%	Brouwerij Stokhove	NaN
Waardamse Tripel	tripel	8,6%	Brouwerij Stokhove	NaN
Waas Klok Bier Bruin	donker	8,5%	Brouwerij Boelens	1995-heden
Waas Klok Bier Tripel	tripel	8,5%	Brouwerij Boelens	2009-heden
Waase Wolf	amber	6%	Brouwerij Boelens	2001-heden
Waaslander	witbier	5%	Brouwerij Boelens	2005-heden
Waterloo Tripel 7 Blond	blond	NaN	Brasserie du Marché	?-1971
Waterloo Double 8 Dark	bruin	8,5%	Brasserie Du Bocq	2005-heden
Waterloo Tripel 7 Blond	blond	7,5%	Brasserie Du Bocq	2005-heden
Watneys Scotch Ale	scotch	8%	Brouwerij Union, later Alken-Maes	ca 1920-heden
Watou Tripel	tripel	7,5%	Brouwerij St. Bernardus	1998-heden
Watou's Wit	witbier	5%	Brouwerij Van Eecke	1988-heden
Wechelse Tripel	etiketbier	7,5%	Brouwerij St. Bernardus voor café Den Toerist	ca 2009-heden
West Pils	pils	5%	Brouwerij Het Sas	1986-heden
Westmalle Dubbel	trappist	7%	Brouwerij Westmalle	1856-heden
Westmalle Tripel	trappist	9,5%	Brouwerij Westmalle	1934-heden
Westmalle Extra	trappist	4,8%	Brouwerij Westmalle	?-heden
Westoek X	hoge gisting	6%	De Struise Brouwers	NaN
Westoek XX	hoge gisting	8%	De Struise Brouwers	NaN
Westvleteren Blond	trappist	5,8%	Sint-Sixtusabdij van Westvleteren	?-heden
Westvleteren Zes	trappist	6,2%	Sint-Sixtusabdij van Westvleteren	1998-heden
Westvleteren Acht	trappist	8%	Sint-Sixtusabdij van Westvleteren	?-heden
Westvleteren Twaalf	trappist	10,2%	Sint-Sixtusabdij van Westvleteren	?-heden
Wevelgemse Tripel	tripel	8%	Brouwerij De Ranke voor Bierwinkel Bacelle	1997-heden
White by Mystic	witbier	5,1%	Brouwerij Haacht	2011-heden
Wieze Christmas Tripel Hop	tripel kerstbier	8%	Brouwerij Wieze	2013
Wieze Pils	pils	%	Brouwerij Van Roy	1866?-1997
Wieze Tripel	tripel	8%	Brouwerij Roman voor Wieze Beer Belgium	2013-heden
Wieze Tripel Blond	tripel	8%	Brouwerij Wieze	2009-2013
Wieze Tripel zoet Bruin	tripel	8%	Brouwerij Wieze	2009-2013
Wildebok	hoge gisting, bockbier	6,5%	De Scheldebrouwerij	1995-heden
Wilderen Goud	hoge gisting	6,2%	Brouwerij Wilderen	2011-heden
Wilderen Kriek	kriek	3,5%	Brouwerij Wilderen	2012-heden
Wilderen Cuvee Clarisse	roodbier	9,2%	Brouwerij Wilderen	2013-heden
Wild Jo	blond, met wilde gisten	5,8%	Brouwerij De Koninck	NaN
Willy Kriegelbier	donkerblond	7%	Huisbrouwerij Sint Canarus	2007-?
Wilson stout	NaN	?%	Brouwerij Bios	?-?
Winter Zjef	winterbier	9%	Brouwerij 't Paenhuys	NaN
Winterkoninck	robijnrood	6,5%	Brouwerij De Koninck (Duvel-Moortgat)	2002-2011
Winterkoninkske	hoge gisting	8,3%	Brouwerij Sint-Jozef voor brouwerij Kerkom	2000-heden
Winterkoninkske Haspengouwse Grand Cru	hoge gisting, kerstbier	13%	Brouwerij Sint-Jozef voor brouwerij Kerkom	2009-heden
Wintersnood	winterbier	6,4%	‘t Hofbrouwerijke voor De Verhuisbrouwerij	2010-?
Witbier Haacht	witbier	5,1%	Brouwerij Haacht	1989-2011
Wit Goud	hoge gisting	8%	Brouwerij Hof ten Dormaal	2010-heden
Witheer	witbier	6,2%	Scheldebrouwerij	1998-2002
Witheer	witbier	5%	Scheldebrouwerij	2002-heden
Witkap Pater Dubbel	hoge gisting, bruin	7%	Brouwerij Slaghmuylder	?-heden
Witkap Pater Special	hoge gisting, amber	5,5%	Brouwerij Slagmuylder	2004-heden
Witkap Pater Stimulo	hoge gisting, blond	6%	Brouwerij Slaghmuylder	?-heden
Witkap Pater Tripel	hoge gisting, tripel	7,5%	Brouwerij Slagmuylder	?-heden
Wittekerke	witbier	5%	Brouwerij Bavik	1998-heden
Wittekerke Passion	witbier, fruitbier	5,8%	Brouwerij Bavik	NaN
Wittekerke Rosé	witbier, fruitbier	4,3%	Brouwerij Bavik	2005-heden
Wittekerke Special	witbier	5,8%	Brouwerij Bavik	1999-heden
Witte Madam	hoge gisting, amber	8,5%	Scheldebrouwerij Hoogstraten	NaN
Witte Pol	witbier	5,6%	Brouwerij Inter-Pol	NaN
Wittoen	hoge gisting, tripel	7%	Brouwerij Strubbe	2004-heden
Wolf 6	blond	6,9%	Brouwerij Wolf	2015-heden
Wolf 7	blond	7,4%	Brouwerij Wolf	?-heden
Wolf 8	donkerbruin	8,5%	Brouwerij Wolf	2008-heden
Wolf 9	amber	9%	Brouwerij Wolf	2008-heden
Wolf Carte Blanche	blond	8,5%	Brouwerij Wolf	2014-heden
Wolf Black	NaN	5,6%	Brouwerij Wolf	2014-heden
Wolf Vliegend Varken	NaN	9%	Brouwerij Wolf	2018-heden
Wolf Tripel Monkey	NaN	7,2%	Brouwerij Wolf	2019-heden
Wolf Monkey Business 'Berry'	NaN	5,5%	Brouwerij Wolf	2019-heden
Wonderlight	laag alcohol	1,9%	Brouwerij Duvel Moortgat	?-?
Wostyntje	mosterdbier	7%	Brouwerij De Regenboog	1998-2010
Wreed Axident	blond	8,5%	Collaboration brew Brouwerij Bryggja, Hobbybrouwerij 't Atelier en Thuisbrouwerij De Vierkante Meter	NaN
Wuitensbier	NaN	?%	Brouwerij Villers	?-?
Wuk Blond+	blond	%	De Brouwmoaten	2018-heden
Wuk Brun	bruin	8,5%	De Brouwmoaten	2018-heden
Wuk4°	blond	4,4%	De Brouwmoaten	2019-heden
Xenophon's Wine	NaN	11%	De Struise Brouwers	NaN
X-Mas Beer	hoge gisting, blond	8,5%	Brouwerij Contreras	2004-heden
XX Bitter	hoge gisting, blond	6,2%	Brouwerij De Ranke	1996-heden
XXX Bitter	hoge gisting, blond	6%	Brouwerij De Ranke	2013-heden
Yersekes mosselbier	NaN	?%	BBrouwerij Van Steenberge	?-?
Yperman	ale	5,5%	Brouwerij Het Sas	1989-heden
Yellow Mortal	ale	7,2%	Brouwerij Mortal's Beers	2003-2008
Zatte Bie	donker	9%	Brouwerij De Bie	?-heden
Zeedust	blond	4,9%	Brouwerij de Schol	2021-heden
Zeezuiper	goudblonde tripel	8%	De Scheldebrouwerij	1994-heden
Zennegat blond	NaN	?%	Brouwerij Villers	?-?
Zennegat bruin	NaN	?%	Brouwerij Villers	?-?
Zennenat	hoge gisting	6,0%	Brouwerij Den Herberg	2011-heden
Zeunt	hoge gisting	7%	De Proefbrouwerij voor het Zeuntcomité	2000-heden
Zeven Zonden Gula	hoge gisting	9%	Brouwerij Gulden Spoor voor bierfirma Hugel	2011-heden
Zeven Zonden Invidia	hoge gisting	10%	Brouwerij Gulden Spoor voor bierfirma Hugel	2013-heden
Zeven Zonden Luxuria	hoge gisting	8,5%	Brouwerij Gulden Spoor voor bierfirma Hugel	2010-heden
Zingende Blondine	hoge gisting	9,8%	Brouwerij 't Gaverhopke	2008-heden
Zinnebir	blond	5,8%	Brouwerij De Ranke voor Brasserie de la Senne	2002-heden
Zoeg	pils	5%	Brouwerij Pieraerts	1890-1955
Zoeg	pils	5%	Brouwerij De Vlier voor Promaco Vision	2010-heden
ZoemZoem	amber, honingbier	8%	Brouwerij Donum Ignis	2012-heden
Zomer Zjef	stout	9%	Brouwerij 't Paenhuys	NaN
Zonderik 100	blond, hoge gisting	7%	De Proefbrouwerij voor Zonderik Beer Company	2012-heden
Zonderik Dubbel Donker	hoge gisting	8%	De Proefbrouwerij voor Zonderik Beer Company	2009-heden
Zonderik Tripel	blond, tripel	8%	De Proefbrouwerij voor Zonderik Beer Company	2009-heden
Zonderix	amber, tripel	10%	De Proefbrouwerij voor Zonderik Beer Company	2009-heden
Zonnegemse Zot	amber	7,1%	De Proefbrouwerij voor Oude Brouwerij van Zonnegem vzw	2000-heden
Zotte Bloare	bruin	5,5%	Brouwerij 't Paenhuys	NaN
Zottegemse Grand Cru	amber	8,4%	Brouwerij Strubbe voor Brouwerij Crombé	NaN
ZUIDerbierke	hoge gisting, bruinrood	8,2%	Brouwerij Donum Ignis	NaN
Zulte	hoge gisting, lichtbruin	4,7%	Alken-Maes (Heineken)	1985-2007 (voorheen bekend onder de naam Oud Bruin)
Zulte Bruin	roodbruin	5,1%	Bierfirma Alfred	2017-heden
Zulte Blond	blond	5,5%	Bierfirma Alfred	2017-heden
Zwalmse Tripel	tripel	8%	De Proefbrouwerij voor de gemeente Zwalm	2003-heden
Zwarte Piet	bovengisting	8%	Zennebrouwerij	NaN
Zwarte Piet	bruin	8,5%	Brouwerij Boelens	NaN
Zwarte Pol	stout	6,5%	Brouwerij Inter-Pol	NaN
Zwarte Zjef	stout	9%	Brouwerij 't Paenhuys	NaN
Zwet.be	stout	7%	De Proefbrouwerij voor Geuzestekerij 3 Fonteinen	NaN
Zwoantje	blond, hoge gisting	6,5%	Brouwerij De Zwoane	2021-heden
Zwijntje	blond (etiketbier)	8%	Brouwerij Bios	1993-heden
Zythone	NaN	6,2%	Brasserie La Rochefortoise	?-?
