beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
La Poiluchette Brune	Top Fermentation	7.5	Brouwerij Huyghe	?	?	3.224
La Poirette de Fontaine	Top Fermentation, Fruibier	8.5	Brasserie la Botteresse de Sur-les-bois	?	?	2.977
La Prime	Top Fermentation, Winter Beer	8.5	Brasserie Sainte-Hélène	?	?	3.298
La Rulles Blonde	Top Fermentation	7	Brasserie Artisanale de Rulles	2000	Present	3.513
La Rulles Brune	Top Fermentation	6.5	Brasserie Artisanale de Rulles	2001	Present	3.451
La Rulles Cuvée Meilleurs Vœux	Top Fermentation, Winter Beer	7.3	Brasserie Artisanale de Rulles	2005	Present	3.514
La Rulles Estivale	Top Fermentation	5.2	Brasserie Artisanale de Rulles	2005	Present	3.521
La Rulles La Grande 10	Top Fermentation, Belgian Strong Pale Ale	10	Brasserie Artisanale de Rulles	?	?	3.695
La Rulles Triple	Top Fermentation, Triple	8.4	Brasserie Artisanale de Rulles	2010	Present	3.699
La Safranaise	Top Fermentation, Herbal Beer	7	Brasserie Millevertus	?	?	2.756
La Saison des Chasses Ambrée	Season	7	Brasserie de Bouillon	?	?	No Rating Found
La Saison des Chasses Blonde	Season	6	Brasserie de Bouillon	?	?	No Rating Found
La Sambresse Blonde	Top Fermentation	8	Brouwerij Brootcoorens	2003	?	3.111
La Spéciale Fêtes	Winter Beer	8.5	Brasserie de Bouillon	?	?	2.989
La Trompeuse	Top Fermentation	6.9	Brasserie Jean Tout Seul	?	Present	3.392
La Troufette Belle d'été	Top Fermentation	6	Brasserie de Bastogne	?	?	3.436
La Troufette Blonde	Top Fermentation	6	Brasserie de Bastogne	2008	Present	3.413
La Troufette Brune	Top Fermentation, Winter Beer	6.8	Brasserie de Bastogne	2008	Present	3.453
La Troufette Givrée	Top Fermentation	8	Brasserie de Bastogne	?	Present	3.257
La Troufette Rousse	Top Fermentation	7.8	Brasserie de Bastogne	?	Present	3.32
La Vauban	Abbey Beer	6	Brasserie de Bouillon	?	?	2.901
La Vermontoise	Season	6	Brasserie de Blaugies	?	?	3.8
La Waterlootoise	Triple	9	Brouwerij Van Steenberge	?	?	3.371
La wepionnaise	Red-Brown	6.5	Les Artisans Brasseurs	?	?	2.754
Lam Gods 33cl	Brown Double	6.8	Brouwerij Van Steenberge voor Brouwerij Paeleman	2007	Present	No Rating Found
Lam Gods 75cl	Brown Double	8	Brouwerij Van Steenberge voor Brouwerij Paeleman	2007	Present	No Rating Found
L'Amarante	Top Fermentation, Herbal Beer	8	Brasserie Millevertus	?	?	2.833
Lambinus	Top Fermentation, Honey Beer	8	De Proefbrouwerij voor bierfirma Lesage	2006	Present	3.368
Lamme Goedzak	Top Fermentation	7	De Scheldebrouwerij	1995	Present	3.561
Lamoral degmont	Top Fermentation, Amber Blonde	8	Brouwerij Van Den Bossche	1987	Present	3.357
Ledeberg Tripel	Triple	6	Brouwerij Van Steenberghe	?	?	3.071
Leeuw Pilsener	Pilsner	5	Brouwerij Haacht	?	Present	2.911
Leeuwse Witte	Wheat Beer	5	Affligem Brouwerij (Brouwerij De Smedt)	?	Present	3.476
Leffe Blond	Blond, Abbey Beer	6.6	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1976	Present	3.584
Leffe Bruin	Brown, Abbey Beer	6.5	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1952	Present	3.541
Leffe Des Vignes	Abbey Beer	5	AB InBev	2015	Present	3.141
Leffe Kerst	Christmas Beer, Abbey Beer	6.5	AB InBev	2008	Present	No Rating Found
Leffe Lente	Abbey Beer	6.5	AB InBev	2011	Present	No Rating Found
Leffe Nectar	Abbey Beer	5.5	AB InBev	2012	Present	3.202
Leffe Radieuse	Abbey Beer	8.2	AB InBev  (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1973	Present	3.535
Leffe Royale	Blond, Abbey Beer	7.5	AB InBev	2012	2015	3.659
Leffe Royale Whitbread Golding	Blond, Abbey Beer	7.5	AB InBev	2015	Present	3.659
Leffe Royale Casade IPA	Ipa Abbey Beer	7.5	AB InBev	?	Present	3.48
Leffe Royale Mapuche	Abbey Beer	7.5	AB InBev	?	Present	3.492
Leffe Royale Mout Hood	Abbey Beer Winter Beer	7.5	AB InBev	?	Present	3.497
Leffe Royale Crystal	Abbey Beer Summer Beer	7.5	AB InBev	?	Present	3.629
Leffe Ruby	Fruit Beer, Abbey Beer	6.5	AB InBev	2011	Present	3.178
Leffe Tripel	Tripel, Abbey Beer	8.4	AB InBev (vroeger Brouwerij van Lootvoet, Brouwerij Artois, Brasserie du Bocq in Purnode en Brouwerij van Hoegaarden)(vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1954	Present	3.647
Leffe Vieille Cuvée	Amber	8.2	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1956	Present	3.675
Leffe 9°	Top Fermentation	9	AB InBev	2015	Present	3.64
Leireken Boekweit Blond	Amber, Top Fermentation, Buckwheat, Organic	6	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?	?	2.96
Leireken Boekweit Bruin	Brown, Top Fermentation, Buckwheat, Organic	6	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?	?	2.879
Leireken Lager Bio	Lager, Organic	5.2	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?	?	2.773
Leireken Wilde Vruchten	Fruit Beer, Top Fermentation, Organic	5.2	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?	?	2.962
Leireken Witte Spelt	Blond, Top Fermentation, Spelled	5	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?	?	3.038
Lekker ding	Nan	NaN	Brouwerij Meesters	?	?	No Rating Found
L'Enfant Terrible	Top Fermentation, Oak Aged	7	Brouwerij De Dochter van de Korenaar	?	?	3.492
Leopold Beer Double	Nan	NaN	Brouwerij Meesters	?	?	4.273
Leopold Beer Triple	Nan	NaN	Brouwerij Meesters	?	?	No Rating Found
Leopold Xmas Beer	Nan	NaN	Brouwerij Meesters	?	?	No Rating Found
Le Pavé de l'Ours	Top Fermentation, Special Belgian	7.5	Brasserie de Silenrieux	2006	Present	3.042
Lesage Blond	Top Fermentation, Triple	7	De Proefbrouwerij voor bierfirma Lesage	?	Present	3.262
Lesage Dubbel	Top Fermentation	7.5	De Proefbrouwerij voor bierfirma Lesage	2011	Present	3.25
Le semeur	Top Fermentation	6.2	Brasserie La Rochfortoise	?	?	3.441
Leuvendige witte	White	6.5	Brasserie Domus	?	Present	3.34
Leute Bokbier	Red Brown, Top Fermentation	7.5	Brouwerij Van Steenberge	1927	Present	3.455
Levir	Blond, Top Fermentation	8.4	Brouwerij Den Buiten	2014	Present	3.359
Li Berwette	Amber, Top Fermentation	8	Brasserie Saint-Monon voor Confrérie du Busson	2001	Present	No Rating Found
Li Berwette di Noyè	Dark Christmas Beer	8.5	Brasserie Saint-Monon voor Confrérie du Busson	?	Present	No Rating Found
Liberty (bier)	Nan	NaN	Brouwerij Villers	?	?	3.653
Li P'tite Gayoûle	Season	5.5	Brouwerij De Ranke voor NovaBirra	?	?	3.385
Liefmans Cuvée-Brut	Fruit Beer	6	Brouwerij Liefmans	?	2015	3.695
Liefmans Frambozenbier	Fruit Beer	5.4	Brouwerij Liefmans	?	?	3.415
Liefmans Fruitesse Rood	Fruit Beer	4.2	Brouwerij Liefmans	?	Present	No Rating Found
Liefmans Goudenband	Brown	8	Brouwerij Liefmans	1956	Present	3.693
Liefmans IJzeren Band	Brown	8	Brouwerij Liefmans	?	1956	No Rating Found
Liefmans Kriek	Brown	6	Brouwerij Liefmans	?	?	3.949
Liefmans Kriek Brute	Brown	6	Brouwerij Liefmans	2015	Present	3.695
Liefmans Oud Bruin	Old Brown	5	Brouwerij Liefmans	?	?	3.461
Liene	Amber, Triple	7	't Hofbrouwerijke in opdracht van Brouwerij Het Nest	2011	Present	3.432
Liers Kerstbier	Amber, Christmas Beer	6	Brouwerij Strubbe voor stad Lier	2007	Present	No Rating Found
Liezelse witte	Wheat Beer	NaN	Brouwerij Villers	?	?	No Rating Found
Lily Blue	Top Fermentation	7.5	Brasserie Sainte-Hélène	?	?	3.266
Limburgse Witte	Top Fermentation	5	Brouwerij Sint-Jozef	?	?	3.469
Limerick	Blond	8	De Proefbrouwerij voor bierfirma Bas-bieren	2009	Present	3.443
Lindemans Apple	Lambic	3.5	Brouwerij Lindemans	2005	Present	3.485
Lindemans Cassis	Fruit Beer	3.5	Brouwerij Lindemans	1986	Present	3.37
Lindemans Framboise	Lambic	2.5	Brouwerij Lindemans	1980	Present	3.769
Lindemans Kriek	Kriek	4	Brouwerij Lindemans	1979	Present	3.564
Lindemans Pecheresse	Fruit Beer	2.5	Brouwerij Lindemans	1987	Present	3.573
Lindemans Tea beer	Fruit Beer	3.5	Brouwerij Lindemans	?	2010	2.975
Liter van Pallieter	Triple	8	Microbrouwerij Achilles	2008	Present	3.453
Liv the dream	Triple	7.5	Brouwerij Donbosvalk	2019	Present	3.185
Living Tripel	Triple	9	De Proefbrouwerij	?	?	3.656
Livinus	Blond, Top Fermentation	10	Brouwerij Van den Bossche	?	?	3.058
Livinus Blonde	Triple	10	Brouwerij Van Eecke	1964	Present	3.405
Livinus Brune	Dark	9	Brouwerij Van Eecke	?	?	No Rating Found
Lokernaere	Label Beer	5.5	Brouwerij Het Sas	1989	Present	No Rating Found
Loo (bier)	Nan	NaN	Brouwerij Villers	?	?	3.394
Lootsch winterbier	Winter Beer	NaN	De Proefbrouwerij	?	?	No Rating Found
Lost in Spice	Blond	5.2	Brouwerij De Koninck (Duvel-Moortgat)	2017	Present	3.248
Loteling blond	Nan	NaN	Brouwerij Villers	?	?	3.382
Loteling bruin	Nan	NaN	Brouwerij Villers	?	?	3.399
Loteling dubbel	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Loteling tripel	Nan	NaN	Brouwerij Villers	?	?	3.4
Loterbol 6°	Top Fermentation	6	Brouwerij Loterbol	1995	Present	3.277
Loterbol Blond	Top Fermentation	8	Brouwerij Loterbol	2002	Present	3.236
Loterbol Bruin	Top Fermentation	8	Brouwerij Loterbol	2002	Present	3.527
Lou Pepe	Geuze	5	Brasserie Cantillon	1998	Present	4.521
Lousberg	Triple	8	De Proefbrouwerij voor Het Hinkelspel	?	?	3.53
Louis XVIII	Blond	7.5	De Wilde Brouwers	2015	Present	3.309
Louwaege Dubbel Blond	Table Beer	1.4	Brouwerij Louwaege	?	?	No Rating Found
Louwaege Faro	Table Beer	1.4	Brouwerij Louwaege	?	?	No Rating Found
Louwaege's Kriek	Kriek	4.3	Brouwerijen Alken-Maes	2002	Present	2.705
Louwaege pils	Pilsner	NaN	Brouwerij Louwaege	?	?	No Rating Found
Louwaege Stout	Stout	4.8	Brouwerij Louwaege	?	?	No Rating Found
Lowie V	Nan	NaN	Brouwerij Cnudde	?	?	No Rating Found
Lozen Boer	Top Fermentation, Quadrupel	10	De Proefbrouwerij voor de familie Neyt	?	Present	3.675
Lozen Boer Abt	Top Fermentation, Quadrupel	10	De Proefbrouwerij voor de familie Neyt	?	?	3.675
Lozen Boer Excellence	Top Fermentation, Quadrupel	10	De Proefbrouwerij voor de familie Neyt	?	Present	3.449
Lozen Boer Cuvée Juchepie	Top Fermentation, Quadrupel	10	De Proefbrouwerij voor de familie Neyt	2012	2012	3.327
Lucifer	Amber, Top Fermentation	8.4	Brouwerij Vondel	?	1957	3.561
Lucifer	Blond, Top Fermentation	8.4	Brouwerij Het Anker (vroeger in Brouwerij Riva en Brouwerij Liefmans)	'80	Present	3.561
Lupulus Blonde	Top Fermentation	8.5	Brasserie les 3 Fourquets	2008	Present	3.602
Lupulus Brune	Triple	8.5	Brasserie les 3 Fourquets	2010	2012	3.487
Lupulus Hibernatus	Brown	9	Brasserie les 3 Fourquets	?	?	3.59
Lupulus Organicus	Blonde Bio	8.5	Brasserie les 3 Fourquets	?	?	3.542
Lupulus Hopera	Blond	6	Brasserie les 3 Fourquets	?	?	3.539
Lupulus Special Brew 2012	Triple	10	Brasserie les 3 Fourquets	2012	2012	3.625
Lusja	Brown	7	Bierfirma NoordSter bij Brouwerij De Vlier	?	?	3.18
Lustem	Wheat Beer	7	't Hofbrouwerijke voor De Verhuisbrouwerij	2008	Present	3.117
Machels Kerstbolleke	Nan	NaN	Brouwerij Meesters	?	?	No Rating Found
Machelse tripel	Triple	NaN	Brouwerij Meesters	?	?	3.672
Mac kot (bier)	Nan	NaN	Brouwerij Villers	?	?	3.558
Ma Mère Spéciale	Dark Blonde	6	Brouwerij De Leite	2011	Present	3.223
Maerlant	Triple	9	Brouwerij Van Steenberge	1957	Present	3.496
Maes	Pilsner	5.2	Alken-Maes	1946	Present	3.491
Maes Cool	Ice Beer	5.7	Alken-Maes (Heineken)	1996	?	No Rating Found
Maes Nature	Table Beer	1.5	Alken-Maes (Heineken)	1999	Present	2.5
Maes Zero	Alcohol-Free Beer	0	Alken-Maes (Heineken)	2007	Present	1.73
Maes Radler	Lemonade Beer	2	Alken-Maes (Heineken)	?	Present	2.869
Mageleno	Blond	7.5	Huisbrouwerij Sint Canarus	?	?	3.155
Magonette	Nan	8.2	Brasserie de la Tour	?	?	No Rating Found
Malheur 6	Golden Blonde	6	Brouwerij De Landtsheer	?	Present	3.316
Malheur 8	Blond	8	Brouwerij De Landtsheer	?	Present	3.515
Malheur 10	Blond	10	Brouwerij De Landtsheer	?	Present	3.682
Malheur 12	Reddish Brown	12	Brouwerij De Landtsheer	?	Present	3.818
Malheur Bière Brut	Blond	11	Brouwerij De Landtsheer	?	Present	3.762
Malheur Dark Brut	Dark Brown	12	Brouwerij De Landtsheer	?	Present	3.924
Malheur Cuvée Royale	Blond	9	Brouwerij De Landtsheer	2005	Present	3.777
Malmedy Triple	Triple	9.0	Brasserie de Bellevaux	?	Present	3.406
Maltosa	Brown, Table Beer	1.2	Brouwerij Haacht	?	Present	1.953
Mamouche	Lambic	5	Brouwerij Cantillon	?	Present	4.256
Maneblusser	Blond	6	Brouwerij Het Anker	2009	Present	3.457
Manneken Pils	Pilsner	5.2	Brouwerij Lefebvre	2004	Present	3.074
Mano Negra	Imperial Stout	10	Brouwerij Alvinne	?	?	3.557
Manten	Top Fermentation	6	Brouwerij Gulden Spoor	2007	Present	3.127
Marckloff	Top Fermentation	6.5	Brasserie La Ferme au Chêne	1989	Present	3.315
Maredsous blond	Blond	6	brouwerij du Faleau later door brouwerij Caulier	1949	1964	3.519
Maredsous bruin	Brown	8	brouwerij du Faleau later door brouwerij Caulier	1949	1964	3.614
Maredsous blond	Blond	6	Brouwerij Duvel Moortgat	1964	Present	3.519
Maredsous bruin	Brown	8	Brouwerij Duvel Moortgat	1964	Present	3.614
Maredsous tripel	Triple	10	Brouwerij Duvel Moortgat	1972	Present	3.721
Mariënrode Double	Brown	8	Brouwerij Anders! voor Halen Breweries	?	?	3.385
Mariënrode Quadruple	Brown	12	Brouwerij Anders! voor Halen Breweries	?	?	3.488
Mariënrode Triple	Triple	9.1	Brouwerij Anders! voor Halen Breweries	?	?	3.492
Maris Otter Aperitiefbier	Blond	5	De Proefbrouwerij	2009	Present	3.306
Margriet	Label Beer	6.5	Brouwerij Het Anker	2005	?	3.176
Martens Pils	Pilsner	5	Brouwerij Martens (Bocholt)	?	?	2.673
Martin’s Blond	Top Fermentation	6	Group John Martin	?	?	3.545
Martin’s IPA	Top Fermentation	9.9	Group John Martin	2012	Present	3.319
Martin’s Pale Ale	Top Fermentation	5.5	Group John Martin	1949	Present	3.266
Martin’s Real Ale	Top Fermentation, Unfiltered	4.5	Group John Martin	?	Present	3.429
Mater Witbier	Wheat Beer	5	Brouwerij Roman	1993	Present	No Rating Found
Mc Chouffe	Dark	8.0	Brouwerij van Achouffe (Duvel-Moortgat)	1987	Present	3.642
Mc Gregor	Blond	6.5	Brouwerij Huyghe	?	?	3.462
Mc Thals	Blond, Top Fermentation	9.5	Brouwerij DijkWaert	2011	Present	3.205
Meesters bier dubbel	Double	NaN	Brouwerij Meesters	?	?	No Rating Found
Meesters bier kerst	Christmas Beer	NaN	Brouwerij Meesters	?	?	No Rating Found
Meesters bier tripel	Triple	NaN	Brouwerij Meesters	?	?	4.143
Meesters bier Haviland	Nan	NaN	Brouwerij Meesters	?	?	No Rating Found
Mechelsen Bruynen	Brown	NaN	Brouwerij Het anker	?	?	No Rating Found
Melchior	Amber	11	Brouwerij Alvinne	?	Present	3.52
Melchior Oak Aged	Oak-Aged	11	Brouwerij Alvinne	?	Present	3.84
Meli witje	Top Fermentation	4.5	Brouwerij Huyghe	?	?	No Rating Found
Melse God	Blond	6.5	Brouwerij Huyghe	?	?	3.627
Mercator	Nan	NaN	Brouwerij Villers	?	?	3.6
Merck toch hoe sterck	Barley Wine	9	De Scheldebrouwerij	1996	2009	3.668
Métisse Saison	Season	5.7	De Lion à Plume bij Brasserie Sainte-Hélène	?	?	3.359
Meuuh!	Wheat Beer	5.5	Brasserie Saint-Monon voor Confrérie du Busson	?	Present	No Rating Found
Milo (bier)	Nan	NaN	Brouwerij Villers	?	?	3.357
Miroir special blanche	Wheat Beer	NaN	Brasserie Miroir	?	?	No Rating Found
Miroir special brune	Brown Beer	NaN	Brasserie Miroir	?	?	No Rating Found
Mistinguett	Top Fermentation	6.5	Brasserie Sainte-Hélène	?	?	3.271
Modeste Bruin	Brown, Organic	7.8	Brouwerij Strubbe voor BioFresh	?	?	No Rating Found
Modeste Tripel	Triple, Organic	8.4	Brouwerij Strubbe voor BioFresh	?	?	3.396
Moeder Overste	Blond	8	Brouwerij Lefebvre	1985	Present	3.477
Moinette Blonde	Blond	8	Brasserie Dupont	1955	Present	3.567
Moinette Brune	Brown	8.5	Brasserie Dupont	1986	Present	3.542
Moinette Biologique	Blonde, Organic	7.5	Brasserie Dupont	1990	Present	3.612
Mokke Blond	Blond	6.5	Brouwerij Pirlot	?	?	3.301
Molse Tripel	Triple	8.3	Scheldebrouwerij	?	?	3.526
Mongozo Banana	Fruit Beer	4.5	Brouwerij Huyghe	2001	Present	3.028
Mongozo Coconut	Fruit Beer	3.5	Brouwerij Huyghe	2005	Present	3.09
Mongozo Mango	Fruit Beer	3.6	Brouwerij Huyghe	2008	Present	3.231
Mongozo Palmnut	Fruit Beer	7	Brouwerij Huyghe	1999	Present	2.872
Mongozo Premium Pilsener	Lager, Organic	5	Brouwerij Huyghe	2010	Present	2.868
Mongozo Quinua	Fruit Beer	5.9	Brouwerij Huyghe	2003	Present	2.467
Monk's Stout	Stout	5.2	Brasserie Dupont	?	2010	3.28
Mont-Saint-Aubert	Triple	8	Brasserie de Brunehaut	?	?	3.331
Montagnarde	Amber	9	Brasserie de l'Abbaye des Rocs	?	?	3.497
Montagnarde Altitude 6	Blond	6	Brasserie de l'Abbaye des Rocs	?	?	3.192
Morpheus Dark	Top Fermentation	10.2	Brouwerij Alvinne	?	Present	3.499
Morpheus Extra RA	Top Fermentation	7.1	Brouwerij Alvinne	2005	Present	No Rating Found
Morpheus Tripel	Top Fermentation, Triple	8.7	Brouwerij Alvinne	2004	Present	3.316
Morpheus Wild	Flemish Old Brown	5.9	Brouwerij Alvinne	?	?	3.752
Mort Subite Cassis	Fruit Beer	4.5	Brouwerijen Alken-Maes	?	2005	3.134
Mort Subite Faro	Faro	4	Alken-Maes	2004	Present	3.601
Mort Subite Framboise	Fruit Beer	5	Alken-Maes	?	Present	3.321
Mort Subite Gueuze	Geuze	4.5	Alken-Maes	1910	Present	3.27
Mort Subite Kriek	Fruit Beer	4.5	Alken-Maes	1910	Present	3.496
Mort Subite Original Gueuze	Geuze	4.5	Alken-Maes	?	?	3.27
Mort Subite Original Kriek	Fruit Beer	4.5	Alken-Maes	?	?	3.496
Mort Subite Oude Gueuze	Old Geuze	7	Alken-Maes	?	Present	3.331
Mort Subite Oude Kriek	Old Cherry	6.5	Alken-Maes	?	Present	3.428
Mort Subite Pêche	Fruibier	4.5	Alken-Maes	?	2005	3.671
Mort Subite Xtreme Framboise	Fruit Beer	4.3	Alken-Maes	2005	Present	3.321
Mort Subite Xtreme Kriek	Fruit Beer	4.3	Alken-Maes	2002	Present	3.562
Mort Subite Xtreme Manzana	Fruit Beer	4.2	Alken-Maes	?	2005	No Rating Found
Mort Subite Witte Lambic	Lambic	5	Alken-Maes	?	Present	3.442
Motuecha	Top Fermentation	5	De Struise Brouwers	?	?	3.451
Moulin de Hollange – Blonde d’Epeautre	Top Fermentation, Spelled Beer	6	Brasserie Millevertus	?	?	No Rating Found
Mouten Kop	Copper Colored India Pale Ale	6	Brouwerij De Graal voor De Hopjutters	2010	Present	3.4
Mug	Top Fermentation	5	De Scheldebrouwerij	1988	Present	3.301
Myn's Pils	Pilsner	5	Brasserie de Silly	1956	Present	No Rating Found
Mystic Krieken	Top Fermentation, Fruit Beer	3.5	Brouwerij Haacht	2006	Present	3.276
Mystic Limoen	Top Fermentation, Fruit Beer	3.5	Brouwerij Haacht	?	?	2.62
Mystic Perzik	Top Fermentation, Fruit Beer	3.7	Brouwerij Haacht	2011	Present	3.338
Mystic Radler	Top Fermentation, Fruit Beer	2.5	Brouwerij Haacht	2015	Present	2.735
Magnum Opus Brut	Champagne Beer	8	Abdijbrouwerij Grimbergen	2021	Present	3.487
'n Maurootje	Dark Blonde	7	Brouwerij Alvinne	2006	Present	3.175
'n Peerdevisscher	Brown	6.5	Brouwerij Callewaert, nu Brouwerij Strubbe	1987	Present	3.198
'n Slypke	Red Brown Label Beer	6	Brouwerij Van Eecke	1955	Present	No Rating Found
'n Toeback	Top Fermentation	9.5	Scheldebrouwerij	2009	Present	3.608
Nachtraaf Speciale-Amber	Amber	6	De Nachtraafbrouwers bij Van Steenberge	2018	Present	3.351
Nachtraaf Dubbel-Bruin	Double	7.5	De Nachtraafbrouwers bij Van Steenberge	2017	Present	3.322
Nachtraaf Tripel-Blond	Triple	9	De Nachtraafbrouwers bij Van Steenberge	2017	Present	3.522
Nachtraaf Quadrupel-Donker	Dark	10	De Nachtraafbrouwers bij Van Steenberge	2017	Present	3.654
Naked Ladies	Top Fermentation	4.4	Brouwerij Alvinne	?	?	3.384
Napoleon	Dark	7	Affligem Brouwerij (Brouwerij De Smedt)	?	Present	3.296
Neandertaler Gesöff	Nan	NaN	Brouwerij Villers	?	?	2.506
Ne Flierefluiter	Triple	6.8	Brouwerij De Smedt in opdracht van bierfirma Fisser	?	Present	3.487
Ne Flierefluiter	Triple	8.5	Brouwerij De Smedt in opdracht van bierfirma Fisser	2001	Present	3.487
Ne Janneman	Top Fermentation, Blond	8.5	Brouwerij van Achouffe in opdracht van drankenservice Pelgrims	1991	?	3.115
Ne Janneman	Top Fermentation, Blond	8	Brasserie La Rochefortoise in opdracht van drankenservice Pelgrims	?	2002	3.115
Ne Janneman	Top Fermentation, Blond	8.5	brouwerij Dupont in opdracht van drankenservice Pelgrims	1955	Present	3.115
Ne Janneman	Top Fermentation, Blond	7	Brouwerij Kerkom in opdracht van drankenservice Pelgrims	?	Present	3.115
Ne Kopstoot	Top Fermentation, Gold Color	7	Brasserie de Brunehaut	?	Present	3.245
Nen abt bijbier	Amber	7	Brasserie Domus	?	?	No Rating Found
Nen blok-bok	Brown	7	Brasserie Domus	?	?	No Rating Found
Nen engel	Amber	8	Brasserie Domus	?	Present	3.444
Ne Snoeper	Triple	10	't Hofbrouwerijke	?	Present	3.523
Nelle van Cruysem	Top Fermentation, Amber	6	Huisbrouwerij Sint Canarus	2013	Present	2.979
Nello's Blond	Blond	7	De Proefbrouwerij voor Brouwerij De Arend (Hoboken)	2003	Present	3.514
Nello's Tripel	Triple	NaN	De Proefbrouwerij voor Brouwerij De Arend	?	Present	3.615
Nen Bangelijke	Strong Blonde	8	Brouwerij 't Pakhuis	?	Present	3.523
Nen Biskop	Blond	6.4	Brouwerij Danny voor Stichting Marcel De Bisschop	2008	Present	3.656
Nen Kerstbal	Christmas Beer	8	voor bierfirma Vacas	?	Present	3.043
Nen Uts	Special Belgian	7	Brouwerij De Graal voor De Hoevebrouwers	?	Present	3.304
Netebuk	Strong Blonde	6.5	Brouwerij Gulden Spoor	?	Present	3.319
Neuzebier Tripel	Blonde Triple	6.9	Brouwerij Anders! voor brouwerij De Neus	1984	Present	3.389
Neuzebier Tripel Bruin	Dark Triple	8	Brouwerij Anders! voor brouwerij De Neus	2014	Present	3.287
Ne Vlasbloeme	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Newton	Fruit Beer	3.5	Brouwerij Lefebvre	1998	Present	2.931
N'Ice Chouffe	Dark Seasonal Beer	10	Brasserie d'Achouffe (Duvel-Moortgat)	1993	Present	3.661
Nigeria Pal	Nan	NaN	Brouwerij Villers	?	?	2.648
Nivoo Bruin	Top Fermentation	8	Brouwerij Anders! voor GIBRIT	?	?	3.139
Nivoo Tripel	Triple	7	Brouwerij Anders! voor GIBRIT	?	?	3.223
Noblesse	Top Fermentation, Blond	5.5	Brouwerij De Dochter van de Korenaar	2007	Present	3.404
Noblesse Extra	Top Fermentation, Ipa	7	Brouwerij De Dochter van de Korenaar	?	Present	3.626
Noël de Silenrieux	Triple, Christmas Beer	9	Brasserie de Silenrieux	1996	Present	3.558
Noir de Dottignies	Top Fermentation	9	Brouwerij De Ranke	2009	Present	3.707
Nondedju	Triple	10.7	't Hofbrouwerijke voor Montaigu	?	?	3.483
Nonneke	Dark	8	Brouwerij Anders! voor Nonneke	?	?	3.344
NOORderbierke	Top Fermentation, Amber Blonde	8.1	Brouwerij Donum Ignis	?	Present	3.295
Norman	Blond	7	Bierfirma NoordSter bij Brouwerij De Vlier	?	?	3.396
Nostradamus	Top Fermentation, Brown	9	Brasserie Caracole	2000	Present	3.591
Nostra domus	Amber	5.8	Brasserie Domus	1985	Present	3.224
Notre Passion	Porter	8	't Hofbrouwerijke voor Montaigu	?	Present	3.258
Nounnette	Blond	7.5	Brasserie de l'Abbaye des Rocs	?	Present	3.285
Novice Blue	Golden Blonde	8.5	Brouwerij De Landtsheer	?	Present	3.569
Novice Tripel Black	Brown, Triple	8.5	Brouwerij De Landtsheer	?	Present	3.524
Nuits Blanches	Nan	7.5	Brasserie de l'Abbaye des Rocs	?	Present	3.294
Ochtend kriek	Fruit Beer	7	Brasserie Domus	?	?	3.114
Odlo Blond	Top Fermentation	6.7	Brouwerij De Graal voor (T)Huisbrouwerij Odlo	2011	Present	3.29
Odlo Hivernum	Winter Beer, Belgian Imperial Stout	8.7	Brouwerij Lupus voor (T)Huisbrouwerij Odlo	2011	Present	3.284
Odlo Triviaal	Triple	8.2	Brouwerij De Graal voor (T)Huisbrouwerij Odlo	?	Present	3.385
Oeral	India Pale Ale	6	De Dolle Brouwers	1986	?	3.701
Oerbier	Top Fermentation	7.5	De Dolle Brouwers	1980	Present	3.713
Oerbier special Reserva	Top Fermentation	13.0	De Dolle Brouwers	?	?	4.152
Oesterstout	Stout	8.5	De Scheldebrouwerij	1999	Present	3.49
Old Musketier	Nan	NaN	Brouwerij Het Sas	?	?	No Rating Found
Omer.	Top Fermentation, Blond	8	Brouwerij Bockor	2008	Present	3.6
Ommegang	Straw Yellow, Top Fermentation	8	Brouwerij Haacht	2011	Present	3.481
Ondineke	Triple	8.5	Brouwerij De Glazen Toren	?	?	3.698
Onze Henri	Triple	9.5	Brouwerij Zwaan9	2019	Present	3.343
Onze Louis	Triple	7.5	Brouwerij Zwaan9	2018	Present	3.49
Op-Ale	Ale	5	Affligem Brouwerij (Brouwerij De Smedt)	?	?	2.98
Opitter	Export	nan	Brouwerij Sint-Jozef	?	?	3.417
Ops-Ale	Blond	5.5	Brouwerij Sint-Jozef	?	?	3.098
